name,uuid,orders,purchase
Pongpat_Intarakul,02fb9a98-72af-6a71-2688-b70efbe86975,17,2731.00
Thanawat_Prasert,08f29554-c262-e86e-cb19-035239adbcf4,20,4869.00
Arthit_Intarakul,54e1091b-f726-e0df-6f11-c8d67162e0b6,14,4480.00
Chalerm_Rattanakorn,7804c4ab-f41c-5acd-6557-33514235bbfa,10,3228.00
Wichai_Saelim,0ed85360-cb3d-204d-b83b-32d6a72300c0,15,3449.00
Nattapong_Lertsiri,4b94226d-48de-1d61-f80f-c82373b32acf,19,2605.00
Panadda_Wongchai,3e4eb712-1eb3-8b1f-b83d-ad23d9dbe84c,6,4583.00
Lalita_Yingcharoen,142010ff-dfab-770f-a9eb-bccbc4a684d6,4,4054.00
Pimchanok_Pornchai,369979fb-69be-4446-7e66-8caa1c4b894b,12,2692.00
Thanawat_Sirisomboon,017c75a7-27b4-a3af-68be-a0d8d2156e94,5,116.00
Arthit_Prasert,358fd262-3b66-e1ac-e6ce-09df196024e0,18,4149.00
Natthapon_Suwan,4559f797-fe13-9c73-50f7-8ec5671468e2,1,1566.00
Chanida_Sukjai,1c104ca5-f307-8b16-528b-63836dfa7467,19,2141.00
Thanawat_Phupong,5bdfc352-6b9d-3105-50f9-3b1a5cc74a4f,5,9881.00
Orn_Siriwat,62839f03-b07c-b51e-e203-3607149fd9ae,15,756.00
Kanya_Sirisomboon,0d97fbee-cd3a-d6e7-f356-9568165e7767,12,1242.00
Pimrada_Ariyawong,0cd9fd91-412e-5192-4b19-5a283736f2ee,16,3247.00
Napatsorn_Sukhum,16b80d20-bb87-a2f0-43c8-2f9d2440fb54,15,1469.00
Thanakorn_Pongsiri,557ccf66-5d62-08fb-9ce4-4753be51c506,3,21542.00
Sirikarn_Phupong,10dc1903-1c9a-f4b0-7bbd-d2a8523d24f3,2,12634.00
Pakorn_Boonsri,1b26dc0f-6ab6-dd19-b7fb-d1b4a953a616,1,1946.00
Chalerm_Wisetkul,22d8f8e4-529b-688c-e531-204f2d06ee4d,8,3820.00
Krit_Nimman,54e9c6a7-297e-2ffd-c570-740e6e911804,4,1567.00
Mali_Kanjana,6f2d0e5f-b7fe-c1c0-55da-7a605383ef80,16,2430.00
Kanya_Boonprasert,27172d01-b0b3-ea50-4b85-390b10542c86,4,1826.00
Kanya_Sukhum,0c08116a-4c51-8dfe-4bb1-7fd5936a4790,11,1186.00
Natthapon_Boonprasert,2c5a76a9-67fe-8999-9f7a-1da15a13c809,20,1943.00
Pakorn_Wongchai,10beb3d7-f0d7-e06c-f362-ae05d4ba32de,11,1579.00
Kittisak_Chokchai,544eafc0-917d-e418-f7e8-bc6a0bdb883c,18,951.00
Surasak_Yingcharoen,3c1bc156-13ee-9035-bbc0-58acbf2e9185,17,1281.00
Lalita_Kongkaew,67680076-7803-3ca3-0eb2-fe76003b21e8,3,2514.00
Warunee_Yingcharoen,1081cce9-dd76-8b92-470d-b430fb88c727,14,621.00
Chalerm_Chokchai,428e988b-efd0-50f9-25fa-4be46ea14c68,11,4592.00
Thanawat_Boonprasert,60ff5a51-ad97-a320-ae75-848418ed96cc,4,2369.00
Chanida_Kiatkul,6191c88e-14ad-7f68-c0f7-9f97b258b869,8,163.00
Lalita_Rojanapong,03debdc7-55cd-103d-2db1-ddfa75b0a809,8,2000.00
Somchai_Wisetkul,39d64288-0c62-0732-759b-2eee4b59c1b4,1,4493.00
Pimchanok_Srisuk,53a69449-6f86-f647-b635-8cac788bee41,17,3792.00
Pimchanok_Boonsri,21df6d80-ffdf-b454-fecc-1dc7f5433c52,1,16702.00
Ratchanee_Sukhum,3871705f-89ec-f520-2735-204729498697,18,1397.00
Panuwat_Saelim,5d55d9fb-1d9c-050d-bc07-7238faf0d155,8,4015.00
Suda_Wongchai,18a70fe6-d1af-382b-ae05-f584d08a2522,13,4770.00
Natthapon_Chansiri,63684106-23e6-fad9-fc24-cb514e0409b5,8,11048.00
Apinya_Pongsiri,2f653c5f-9948-560e-f08b-4499c204bf2e,7,1131.00
Pimchanok_Boonsri,4b658315-fe5e-0996-8c0e-218dca4188b5,6,8211.00
Supaporn_Lertsiri,62c2f770-0cb7-face-ef9f-e193a68d9f92,20,4300.00
Phuwanat_Siriwat,6a46cb32-7620-56c4-6e81-147bd0cd807b,9,2858.00
Lalita_Kiatkul,688cd70c-8a73-c0c9-00ff-8a813624a1b8,20,2632.00
Orn_Intarakul,31484f96-1a21-6dbf-31c5-8f9b32c95e38,12,1741.00
Sirikarn_Chalermchai,21eab31f-c99e-c094-5af7-295afa5f7e5f,9,4295.00
Panadda_Pornchai,178aad01-28ba-d441-1ba7-90e362419b5d,12,3657.00
Kornkanok_Pongsiri,6c4e07f9-a3fb-f0bc-fddc-871990d3230d,10,12800.00
Kornkanok_Chaiyo,06a45c6e-3d2a-98f5-0e84-30fa77673136,8,3734.00
Natthapon_Wattanakul,5ef7aa89-3914-7c16-a05b-f2fdfe202844,20,183.00
Wichai_Phothong,31e39c1c-0bda-4161-6f98-9fed95ce43f7,10,4298.00
Thidarat_Siriwat,58a32dcd-1b31-4f58-221c-6f8eeafacb53,14,1869.00
Pakorn_Kanjana,64406c8a-0b71-495a-e5dd-4473ee21c5ed,17,3417.00
Supansa_Kiatkul,3dbee773-4eb0-25cb-3c61-338f23f5d0f5,10,3997.00
Chanida_Sutham,20682a91-a636-2ee6-2185-d174319540dd,11,17654.00
Mali_Chokchai,3da14847-4ced-6fe5-5e33-7051138c822e,9,3143.00
Pongpat_Boonsri,33e49e22-e4cb-ffe3-d059-877137304891,6,1254.00
Somchai_Sukhum,4764b8c2-ed2c-f6ff-f16c-06c2bd9466ba,7,387.00
Pimrada_Chantarasak,76cc0ae7-009f-eeaa-f220-1aa834853978,8,4384.00
Supansa_Jaroensuk,57e645fb-8ed2-a581-cc2a-eadd6fce7e6f,3,4800.00
Natthapon_Chantarasak,71181cee-8743-7410-cca2-cb008f999ab3,4,210.00
Suda_Sawang,4dcf969b-c205-13a2-2633-189cc8be3ac4,16,3077.00
Lalita_Yingcharoen,0eb7e4e6-bf96-375c-996b-7ae40fe5b389,9,4730.00
Napatsorn_Tantipong,2fc2037a-5714-18a4-f4e4-c07a988a9acb,17,4521.00
Panuwat_Boonprasert,102223c3-df7b-1d8d-15b5-4c01f5385357,10,1534.00
Jirawan_Ariyawong,7c8cd6dc-4566-2cc9-4b2d-8c729257ae5c,5,5082.00
Daranee_Siriwat,686068fa-2a9f-35b9-096e-42d5c7459533,2,3946.00
Krit_Pornchai,43ec77bb-b8d3-52a1-f31b-a1c47b782577,16,3010.00
Anan_Boonprasert,516f6feb-d711-d407-316d-0e96a7344a7d,3,157.00
Warunee_Lertsiri,1e5bbd13-39f7-93e0-6710-6b661fbc9664,8,2302.00
Apinya_Sombat,1fbefffb-c805-db3c-6daf-36463714354d,9,4104.00
Apinya_Wattanakul,127b1e53-e49f-ac46-5413-cb3650e24ad6,1,2380.00
Ratchanee_Thipwong,1dc9f12d-d0a2-56d9-def7-510e7dfd824b,12,2287.00
Pongpat_Phupong,33d8a9f8-f35f-0dd3-9878-0502d58125b4,9,3341.00
Aekkachai_Wongchai,5dd49950-8350-121f-cc74-f4246dfa6e61,15,20549.00
Panuwat_Jaroensuk,0f0258cc-c0c6-39fb-a124-6c73ff2f6890,15,2401.00
Daranee_Phupong,2b3312de-c2fa-bea1-71af-bf4c303e45cc,1,18386.00
Kanya_Srisuk,46598f47-a266-e7e0-45af-ebe66a50c140,1,2682.00
Ratchanee_Sirisomboon,323fac5f-aabe-da92-ccb1-a881c93a2ecb,1,2589.00
Chanida_Chantarasak,31a819ca-363e-2a4c-e8f4-1b4015d29835,13,24869.00
Teerapat_Rojanapong,0e7ec79f-9f28-0e45-ec52-2731031adc9a,5,520.00
Busaba_Tantipong,3d6cfc5f-e07a-8979-a292-1fe4d3193186,2,3990.00
Pakorn_Intarakul,4c41e034-9d08-b63a-d163-ee86a40fef19,19,3060.00
Jirawan_Sukjai,6b379ca1-4505-537e-803c-1837d0f85fe8,12,345.00
Tanawat_Ariyawong,39d97aa1-fdb2-ed21-3d7d-09015e1893ad,2,10166.00
Orn_Sombat,33fbbca3-8bfe-fbd6-cfbf-2f213ce10742,7,3323.00
Niran_Chantarasak,42c017c2-e3ca-0c7e-5609-7291b85e5bdb,9,141.00
Thanakorn_Chokchai,57fd3137-3f02-b4c0-d356-d5b7fe2561ff,16,657.00
Lalita_Manop,40f22f64-6f8b-3ddf-3142-10846fc7a2da,3,8912.00
Kanya_Siriwat,31b115de-bb4e-2fac-cfdc-85762d628774,9,5035.00
Apinya_Yingcharoen,6e43d4f5-5961-0372-3945-1f172499bfa3,4,2662.00
Pimrada_Kongkaew,0c6120d7-099a-7c98-e674-fcadc68ea6dd,14,476.00
Pimrada_Sukhum,3c84643f-8323-7b0c-6f96-fcb8c7b02aca,13,4520.00
Panuwat_Pattara,0b670d63-e46e-ff69-83b0-a91dbe2eea97,3,2712.00
Supaporn_Prasert,783ad9fa-e9c0-6d5a-66e4-346e5da77f41,5,1896.00
Chalerm_Tirakul,7e2c0215-f169-63b4-eea9-ba9c7481e495,13,17564.00
Natthapon_Pongsiri,62cec426-cd77-7b7a-a85c-68e2fe4f1f2c,4,4000.00
Lalita_Chalermchai,465a8ca2-03c3-29de-eb41-3508a68165d2,1,3477.00
Chanida_Porchaidai,1c09a32f-710a-66aa-5cde-fff279711eca,5,1071.00
Daranee_Kiatkul,48c6614c-e9e7-69e3-c04a-59fe648f0658,11,2550.00
Surasak_Pattara,07490ae3-c0d1-0088-fad9-d4276e762d99,12,3236.00
Busaba_Kasem,598a8d2d-b348-47e2-4e07-b3c83e43b794,5,1546.00
Pimchanok_Ariyawong,5e65c529-3729-9bdb-7498-e6f228db4347,10,740.00
Preecha_Sombat,74e42b5b-9f51-9762-c0b6-1a54af2c8911,7,2002.00
Chaiya_Sombat,7cb6d3b4-0e63-aa02-7827-69d7bea958ab,3,3764.00
Warunee_Suwan,7649cbd2-84a9-a805-f31d-0867c4c18a4a,20,3958.00
Chaiya_Phupong,2d6ec111-5a64-7d39-55e7-eb34adbbf85c,2,1363.00
Napatsorn_Pattara,08db4ae7-883b-1589-df77-02c61abdac45,20,1837.00
Supaporn_Pongsiri,30dbadef-3ef8-1f83-e217-634fdae91493,6,2230.00
Kittisak_Rojanapong,2cd975e2-5f6e-6cb6-3872-e8425cef8533,1,1040.00
Supansa_Siriwat,5098c4a0-0db6-57b9-6657-fb07afbc98ee,4,866.00
Siriporn_Tirakul,382bc87e-e501-c6be-0b9f-16c5f5c9845b,16,142.00
Napatsorn_Chalermchai,1fbc321b-9ae3-ecef-4c61-a6450cde011e,12,2959.00
Chaiya_Phothong,70cace12-3998-33b5-ba12-15d30ff5b96f,19,206.00
Lalita_Thongdee,2af0afdd-ec31-9534-b052-025fd45a89cd,12,4383.00
Sirikarn_Sombat,6a7bf876-4197-5a70-ab67-155dbe096a5b,1,1059.00
Panadda_Intarakul,65dc6d94-43ca-b975-cf55-df501bc95008,13,3431.00
Panadda_Boonsri,6c779831-f099-dd0c-4522-e06cfa059893,1,2998.00
Thidarat_Prasert,1d73f5ba-9571-4240-7e84-3ca2c99c4ed7,5,2834.00
Napatsorn_Wattanakul,7e7c8fad-e7bb-b851-f24a-07a5ee33969e,12,2230.00
Pimrada_Thipwong,24873ed0-dc6c-4c99-d81b-014d9f23bd03,17,7891.00
Chanida_Siriwat,7359cbaf-8953-ae73-1a40-76f109d2f8a5,18,1128.00
Narin_Prasert,5b3be77d-ee56-6dc6-0d6b-06c72b2f490a,20,861.00
Panuwat_Tantipong,5f1498e6-54ce-c1da-057a-af2dee39e89d,1,1527.00
Preecha_Tantipong,727793f9-fb25-3e89-aa94-09df1ff0ee28,15,21251.00
Pimrada_Chokchai,22733fc5-b02e-baf9-491b-a575d06ca224,6,2531.00
Daranee_Lertsiri,3287352d-3745-b953-3890-9179a04d257d,19,356.00
Surasak_Pornchai,6d65f628-f434-a344-fc07-32ae40f488dd,9,3703.00
Panadda_Siriwat,7cbedc8b-69a8-c0f6-7c8f-a07c34a81900,10,9076.00
Somchai_Tantipong,112f4b91-2567-a9ef-9b68-ee8ad385c766,18,2100.00
Chaiya_Phupong,4f932406-2eba-d8cb-1bed-6aefa898b37a,19,9803.00
Tanawat_Boonprasert,1089789e-d58d-3544-3b43-e08aa6a5bc88,7,2299.00
Panadda_Saelim,6709039f-f092-01a7-8284-de444ed5b78b,15,2422.00
